State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Sabah,Sandakan,(12.1m),2006,24.2,31.4,5686.6,213.0,82.4
Sabah,Tawau,(17.5m),2006,23.6,31.0,2631.5,182.0,86.0
Sarawak,Kuching,(20.9m),2006,23.4,31.7,3847.6,227.0,84.5
Sarawak,Miri ,(17.0m),2006,24.1,31.1,2971.3,202.0,81.5
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2006,24.1,32.0,1982.8,189.0,78.6
Selangor,Subang,(16.6m),2006,24.0,32.3,3455.0,225.0,78.3
Terengganu,Kuala Terengganu,(5.2m),2006,24.1,31.1,2047.0,160.0,83.1
Wilayah Persekutuan Labuan,Labuan,(27.9m),2006,25.3,31.6,3151.8,218.0,79.7
Johor,Senai,(37.8m),2007,23.0,31.1,3402.2,210.0,86.8
Johor,Kluang,(88.1m),2007,23.4,32.5,2698.8,187.0,82.1
Kedah,Alor Setar,(3.9m),2007,24.2,32.4,2146.8,181.0,79.1
Kedah,Pulau Langkawi,(6.4m),2007,24.9,31.4,2643.8,172.0,76.9
Kelantan,Kota Bharu,(4.4m),2007,24.1,31.0,2066.8,177.0,79.4
Kelantan,Kuala Krai,(34.9 m),2007,22.8,32.0,3044.6,199.0,85.0
Melaka,Melaka,(8.5m),2007,24.1,31.9,2078.6,200.0,79.3
Pahang,Kuantan,(15.2m),2007,23.7,31.9,3473.6,192.0,85.9
Pahang,Cameron Highlands,"(1,545.0m)",2007,15.3,22.4,2972.3,238.0,88.5
Perak,Ipoh,(40.1m),2007,23.3,32.7,2913.1,189.0,81.5
Perak,Sitiawan,(6.8m),2007,23.7,32.0,1408.6,163.0,82.6
Perlis,Chuping  ,(21.7m),2007,23.9,32.5,2128.6,172.0,83.4
Pulau Pinang,Bayan Lepas,(2.5 m),2007,24.6,31.4,2326.0,179.0,80.1
Pulau Pinang,Butterworth,(3.3m),2007,23.9,31.7,2005.6,175.0,81.0
Sabah,Kota Kinabalu,(2.1m),2007,24.0,32.0,2916.7,199.0,81.7
Sabah,Kudat,(3.5m),2007,24.3,31.6,3067.9,176.0,84.1
Sabah,Sandakan,(12.1m),2007,24.3,31.2,3515.6,186.0,82.0
Sabah,Tawau,(17.5m),2007,23.6,31.1,2310.2,185.0,86.7
Sarawak,Kuching,(20.9m),2007,23.4,31.4,4768.8,263.0,85.3
Sarawak,Miri ,(17.0m),2007,23.9,30.8,3266.6,228.0,80.3
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2007,23.9,31.4,2137.8,182.0,81.1
Selangor,Subang,(16.6m),2007,24.1,32.3,2871.8,203.0,77.5
Terengganu,Kuala Terengganu,(5.2m),2007,24.2,31.0,2129.0,173.0,82.0
Wilayah Persekutuan Labuan,Labuan,(27.9m),2007,25.1,31.5,3277.1,222.0,79.9
Johor,Senai,(37.8m),2008,22.9,30.9,3146.0,207.0,87.0
Johor,Kluang,(88.1m),2008,23.1,32.3,2782.4,198.0,83.2
Kedah,Alor Setar,(3.9m),2008,24.1,32.5,2274.0,178.0,80.5
